ITS2 type profile		A1-A1gr-A1gd-A1mm-A1bf	A1/A1gr/A1gd	A1/A1h-A1dl	A1-A1gr-A1mm	A1/A1gd-A1g	A1/A1gd	A1/A1bx-A1bw-A1bf	A1-A1ee-A1mm	C3k/C3-C50a-C3ba-C29-C21ab-C50f-C3dq-C3a	C3k/C3-C50a-C3ba-C50f-C3dq-C21ab-C3a-C3b	C3/C50b-C3bm-C50f-C21-C3b-C3acq	C3bo/C3k/C3-C3bp-C50a-C3jq-C3a-C3dq	C50b/C3-C3bm-C50f-C21-C3b-C21ba	C3k/C3-C3ba-C3a-C50f-C3dq-C50a-C3acr-C50aj	C21/C3a	C3-C3k-C50a-C3.10-C3gj-C3b-C21cf	C21/C1	C1/C42.2	C3k	C50b	C50b/C3-C21	C31	C3k/C1/C3-C1c-C50a-C3dq-C1b-C3ba-C50y	C3k/C3-C50a-C29-C21ab-C3b	C3f/C3ae/C3/C3fl-C50a-C3bj-C3h	C3k-C3-C50a-C29-C21ab-C50f-C3ba-C3dq	C50b-C3-C3bm-C50f-C21-C3b	C42.2/C1-C1b-C42u-C42a-C3-C115k-C115l	D1-D17i-D17s-D1r-D17r
227799	A340-24	0	0	0	0	0	0	0	0	34442.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227721	A262-24	0	0	0	0	0	0	0	0	40664.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227775	A316-24	0	0	0	0	0	0	0	0	32863.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227803	A344-24	0	0	0	0	0	0	0	0	41643.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227759	A300-24	0	0	0	0	0	0	0	0	37264.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227524	A074-24	0	0	0	0	0	0	0	0	59011.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227768	A309-24	0	0	0	0	0	0	0	0	42434.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227763	A304-24	0	0	0	0	0	0	0	0	32111.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227678	A218-24	0	0	0	0	0	0	0	0	33597.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227523	A073-24	0	0	0	0	0	0	0	0	56446.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227526	A076-24	0	0	0	0	0	0	0	0	49513.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227751	A292-24	0	0	0	0	0	0	0	0	45178.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227556	A105-20	0	0	0	0	0	0	0	0	58101.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227665	A208-24	0	0	0	0	0	0	0	0	31973.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227635	A179-24	0	0	0	0	0	0	0	0	38826.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227708	A248-24	333.0	0	0	0	0	0	0	0	45684.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227593	A137-24	0	0	0	0	0	0	0	0	51018.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227483	A038-24	0	0	0	0	0	0	0	0	56324.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227757	A298-24	0	0	0	0	0	0	0	0	47295.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227765	A306-24	0	0	0	0	0	0	0	0	24753.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227600	A144-24	0	0	0	0	0	0	0	0	47956.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227660	A204-24	0	0	0	0	0	0	0	0	55539.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227766	A307-24	0	0	0	0	0	0	0	0	30486.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227659	A203-24	0	0	0	0	0	0	0	0	37397.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227641	A185-24	0	0	0	0	0	0	0	0	37019.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227658	A202-24	0	0	0	0	0	0	0	0	32494.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227661	A205-24	0	0	0	0	0	0	0	0	49742.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227507	A059-24	0	0	0	0	0	0	0	0	41655.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227509	A061-24	0	0	0	0	0	0	0	0	58417.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227614	A158-24	0	0	0	0	0	0	0	0	39156.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227503	A055-24	0	0	0	0	0	0	0	0	34422.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227590	A134-24	0	0	0	0	0	0	0	0	52494.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227756	A297-24	0	0	0	0	0	0	0	0	49096.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227649	A193-24	0	0	0	0	0	0	0	0	8732.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227619	A163-24	0	0	0	0	0	0	0	0	45379.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
